occupation,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
Sales,White,Male,0,0,50,United-States,<=50K
Farming-fishing,Black,Male,0,0,30,United-States,<=50K
Adm-clerical,Black,Female,0,0,40,Jamaica,<=50K
Craft-repair,White,Male,0,0,70,United-States,<=50K
Other-service,White,Female,0,0,50,United-States,<=50K
Other-service,White,Female,0,0,20,United-States,<=50K
Other-service,White,Female,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,80,?,<=50K
Exec-managerial,White,Male,0,0,40,Cuba,>50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Other-service,White,Female,0,0,40,United-States,<=50K
Prof-specialty,White,Male,0,0,40,England,<=50K
Other-service,White,Male,0,0,40,Nicaragua,<=50K
Other-service,White,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,<=50K
?,White,Female,0,0,50,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,>50K
Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
Tech-support,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Male,0,0,50,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Craft-repair,Black,Male,0,0,40,United-States,<=50K
Sales,Black,Male,0,0,35,United-States,<=50K
Exec-managerial,White,Female,0,0,42,United-States,<=50K
?,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,38,United-States,<=50K
Prof-specialty,White,Male,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,>50K
Exec-managerial,White,Male,0,0,40,United-States,<=50K
Other-service,Black,Female,0,0,38,United-States,<=50K
Farming-fishing,White,Male,0,0,16,United-States,<=50K
Exec-managerial,White,Male,0,0,60,United-States,>50K
Exec-managerial,White,Male,0,0,70,United-States,<=50K
Adm-clerical,White,Male,0,0,10,United-States,<=50K
?,White,Male,0,0,30,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,20,United-States,<=50K
Sales,White,Male,0,0,50,United-States,>50K
Other-service,Black,Male,0,0,20,United-States,<=50K
Sales,White,Male,0,0,50,Mexico,<=50K
Sales,White,Female,0,0,40,United-States,<=50K
Transport-moving,White,Male,0,0,40,United-States,<=50K
Transport-moving,White,Male,0,0,40,United-States,<=50K
Handlers-cleaners,White,Male,0,0,30,United-States,<=50K
Adm-clerical,White,Female,0,0,40,Mexico,<=50K
Other-service,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
?,White,Male,0,0,32,United-States,<=50K
Prof-specialty,White,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Priv-house-serv,White,Female,0,0,40,Mexico,<=50K
Exec-managerial,White,Male,0,0,40,United-States,>50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Other-service,Asian-Pac-Islander,Female,0,0,30,United-States,>50K
Exec-managerial,White,Male,0,0,44,United-States,<=50K
Prof-specialty,White,Male,0,0,46,United-States,<=50K
Farming-fishing,White,Male,0,0,40,United-States,<=50K
?,White,Male,0,0,40,United-States,<=50K
Exec-managerial,Black,Male,0,0,40,United-States,>50K
Protective-serv,White,Male,0,0,40,United-States,>50K
Adm-clerical,Black,Male,0,0,40,United-States,<=50K
Other-service,White,Female,0,0,38,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Farming-fishing,White,Male,0,0,45,United-States,<=50K
Exec-managerial,White,Male,0,0,45,United-States,<=50K
Protective-serv,Black,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,>50K
Exec-managerial,White,Female,0,0,60,United-States,<=50K
Machine-op-inspct,White,Male,0,0,45,United-States,<=50K
?,White,Female,0,0,17,Honduras,<=50K
Exec-managerial,White,Male,0,0,60,United-States,>50K
Sales,White,Male,0,0,38,United-States,>50K
Adm-clerical,White,Male,0,0,36,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,>50K
Other-service,White,Male,0,0,44,United-States,>50K
Sales,White,Male,0,0,45,United-States,>50K
?,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,50,United-States,<=50K
Sales,White,Male,0,0,47,United-States,>50K
?,White,Male,0,0,36,United-States,<=50K
Prof-specialty,Asian-Pac-Islander,Male,0,0,16,Japan,<=50K
Adm-clerical,White,Female,0,0,46,United-States,<=50K
Prof-specialty,White,Male,0,0,45,United-States,>50K
Craft-repair,White,Male,0,0,4,?,<=50K
Exec-managerial,White,Female,0,0,40,United-States,>50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Female,0,0,40,United-States,<=50K
Transport-moving,Asian-Pac-Islander,Male,0,0,40,?,<=50K
?,White,Male,0,0,40,United-States,<=50K
Craft-repair,Black,Female,0,0,35,Dominican-Republic,<=50K
Farming-fishing,White,Male,0,0,40,United-States,<=50K
Protective-serv,White,Male,0,0,60,United-States,>50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Sales,White,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,<=50K
Tech-support,White,Female,0,0,10,United-States,<=50K
Prof-specialty,White,Female,0,0,30,United-States,<=50K
?,White,Female,0,0,5,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,53,United-States,<=50K
Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
Protective-serv,Black,Male,0,0,16,United-States,<=50K
Tech-support,White,Male,0,0,40,United-States,<=50K
Priv-house-serv,White,Female,0,0,40,El-Salvador,<=50K
Sales,White,Male,0,0,45,United-States,<=50K
?,Asian-Pac-Islander,Female,0,0,15,United-States,<=50K
Craft-repair,White,Male,0,0,70,United-States,<=50K
Other-service,Black,Female,0,0,38,Jamaica,>50K
Prof-specialty,White,Male,0,0,50,United-States,<=50K
Adm-clerical,Asian-Pac-Islander,Female,0,0,40,India,<=50K
Prof-specialty,White,Female,0,0,60,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Female,0,0,25,United-States,<=50K
Sales,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
Priv-house-serv,White,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,40,Puerto-Rico,<=50K
Other-service,White,Female,0,0,28,United-States,<=50K
Exec-managerial,White,Male,0,0,50,United-States,>50K
Prof-specialty,White,Female,0,0,38,United-States,<=50K
Tech-support,White,Male,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,40,United-States,<=50K
Transport-moving,White,Male,0,0,40,Puerto-Rico,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,55,United-States,<=50K
Machine-op-inspct,Black,Male,0,0,40,United-States,<=50K
Adm-clerical,White,Male,0,0,48,United-States,<=50K
?,White,Male,0,0,30,United-States,<=50K
Priv-house-serv,White,Female,0,0,70,United-States,<=50K
?,White,Male,0,0,40,United-States,<=50K
Craft-repair,Black,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,50,United-States,>50K
Sales,White,Male,0,0,55,Italy,>50K
Other-service,White,Female,0,0,37,United-States,<=50K
Craft-repair,White,Male,0,0,17,United-States,<=50K
?,White,Male,0,0,55,United-States,<=50K
?,White,Female,0,0,8,United-States,>50K
Other-service,Black,Female,0,0,15,United-States,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,>50K
Sales,White,Male,0,0,50,United-States,<=50K
Priv-house-serv,Black,Female,0,0,30,United-States,<=50K
Craft-repair,White,Male,0,0,50,United-States,<=50K
Protective-serv,White,Female,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Transport-moving,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,48,United-States,<=50K
Prof-specialty,White,Female,0,0,40,United-States,>50K
Craft-repair,White,Male,0,0,45,United-States,<=50K
Adm-clerical,White,Female,0,0,35,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,>50K
Exec-managerial,White,Male,0,0,45,United-States,>50K
Exec-managerial,White,Female,0,0,50,United-States,>50K
Prof-specialty,White,Male,0,0,40,?,>50K
Sales,White,Male,0,0,5,United-States,>50K
Farming-fishing,White,Male,0,0,75,United-States,<=50K
Sales,White,Male,0,0,68,United-States,>50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Male,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,65,United-States,<=50K
Sales,White,Male,0,0,30,United-States,<=50K
Transport-moving,White,Female,0,0,18,United-States,<=50K
Transport-moving,White,Male,0,0,70,United-States,>50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Adm-clerical,Black,Female,0,0,40,United-States,<=50K
Handlers-cleaners,White,Male,0,0,40,Mexico,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,>50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,>50K
Transport-moving,White,Male,0,0,40,United-States,<=50K
Adm-clerical,White,Male,0,0,60,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,50,United-States,<=50K
Exec-managerial,White,Female,0,0,12,United-States,<=50K
Machine-op-inspct,Black,Female,0,0,40,United-States,>50K
Transport-moving,White,Male,0,0,40,United-States,>50K
Other-service,Black,Female,0,0,40,United-States,<=50K
Sales,Asian-Pac-Islander,Male,0,0,60,South,<=50K
Protective-serv,Black,Male,0,0,40,United-States,<=50K
?,White,Female,0,0,35,United-States,<=50K
Other-service,White,Female,0,0,42,United-States,<=50K
Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
?,White,Male,0,0,30,United-States,>50K
Sales,White,Male,0,0,48,United-States,>50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,50,United-States,>50K
Machine-op-inspct,Black,Female,0,0,40,United-States,<=50K
Sales,White,Female,0,0,37,Mexico,<=50K
Craft-repair,White,Male,0,0,30,United-States,<=50K
Other-service,White,Female,0,0,35,United-States,<=50K
?,White,Female,0,0,8,United-States,<=50K
Craft-repair,Black,Male,0,0,40,United-States,<=50K
Transport-moving,White,Male,0,0,40,United-States,<=50K
Tech-support,White,Male,0,0,22,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,50,United-States,>50K
Adm-clerical,Black,Female,0,0,40,United-States,>50K
Transport-moving,White,Male,0,0,40,Cuba,<=50K
Exec-managerial,White,Female,0,0,40,United-States,<=50K
Sales,Black,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,50,Germany,>50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,40,United-States,<=50K
Tech-support,White,Female,0,0,40,United-States,>50K
Prof-specialty,White,Male,0,0,55,United-States,>50K
Tech-support,White,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Male,0,0,52,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Handlers-cleaners,White,Male,0,0,40,United-States,>50K
Craft-repair,White,Male,0,0,45,United-States,>50K
Exec-managerial,White,Female,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,>50K
Sales,White,Male,0,0,18,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
Adm-clerical,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K
Exec-managerial,White,Female,0,0,48,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Male,0,0,55,United-States,>50K
Exec-managerial,White,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,>50K
Other-service,Black,Male,0,0,40,United-States,<=50K
Farming-fishing,White,Male,0,0,45,United-States,<=50K
Other-service,White,Female,0,0,25,United-States,<=50K
Transport-moving,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,50,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,60,United-States,<=50K
Exec-managerial,White,Male,0,0,35,United-States,<=50K
Sales,White,Male,0,0,50,United-States,>50K
Machine-op-inspct,White,Male,0,0,21,Mexico,<=50K
Transport-moving,Black,Female,0,0,37,United-States,<=50K
Craft-repair,White,Male,0,0,40,Poland,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Other-service,White,Female,0,0,35,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Sales,White,Female,0,0,10,United-States,<=50K
Prof-specialty,White,Female,0,0,70,United-States,<=50K
Prof-specialty,White,Female,0,0,20,United-States,<=50K
?,White,Male,0,0,27,United-States,<=50K
Other-service,White,Male,0,0,40,Mexico,>50K
Prof-specialty,White,Female,0,0,40,United-States,<=50K
Prof-specialty,White,Male,0,0,40,Canada,<=50K
Sales,White,Female,0,0,45,United-States,<=50K
Prof-specialty,Asian-Pac-Islander,Male,0,0,55,Taiwan,>50K
Prof-specialty,White,Male,0,0,35,United-States,>50K
Protective-serv,Black,Female,0,0,25,Haiti,<=50K
Craft-repair,White,Male,0,0,24,United-States,<=50K
Craft-repair,White,Male,0,0,37,United-States,<=50K
?,White,Male,0,0,15,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,>50K
Craft-repair,White,Female,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,20,United-States,<=50K
Adm-clerical,White,Female,0,0,45,United-States,<=50K
Other-service,White,Male,0,0,60,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,60,United-States,<=50K
Sales,White,Female,0,0,40,United-States,<=50K
Tech-support,White,Male,0,0,60,United-States,<=50K
Other-service,Asian-Pac-Islander,Male,0,0,35,United-States,<=50K
Other-service,White,Female,0,0,40,United-States,>50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Handlers-cleaners,White,Male,0,0,35,United-States,<=50K
Adm-clerical,White,Female,0,0,38,United-States,<=50K
Transport-moving,White,Male,0,0,20,United-States,<=50K
Prof-specialty,White,Male,0,0,40,United-States,>50K
Sales,White,Female,0,0,40,United-States,>50K
Adm-clerical,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,47,United-States,<=50K
Prof-specialty,White,Male,0,0,60,United-States,>50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Protective-serv,White,Male,0,0,40,United-States,>50K
Craft-repair,White,Male,0,0,55,United-States,<=50K
?,Asian-Pac-Islander,Male,0,0,20,China,<=50K
Exec-managerial,White,Male,0,0,50,United-States,>50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
?,White,Male,0,0,40,Canada,<=50K
Farming-fishing,White,Male,0,0,50,United-States,<=50K
Sales,White,Male,0,0,50,United-States,<=50K
Prof-specialty,White,Male,0,0,40,United-States,<=50K
Transport-moving,White,Male,0,0,90,United-States,<=50K
Adm-clerical,White,Female,0,0,20,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,Guatemala,<=50K
Transport-moving,White,Male,0,0,25,United-States,<=50K
Tech-support,White,Female,0,0,40,United-States,<=50K
Exec-managerial,Asian-Pac-Islander,Male,0,0,40,Taiwan,>50K
?,White,Female,0,0,25,United-States,<=50K
Craft-repair,White,Male,0,0,40,Canada,<=50K
Farming-fishing,White,Male,0,0,25,Mexico,<=50K
Other-service,Black,Female,0,0,40,United-States,<=50K
Sales,White,Male,0,0,40,United-States,>50K
Tech-support,White,Male,0,0,60,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,>50K
Exec-managerial,Black,Male,0,0,40,United-States,<=50K
Exec-managerial,White,Female,0,0,45,United-States,<=50K
Farming-fishing,White,Male,0,0,40,England,<=50K
?,White,Female,0,0,30,United-States,<=50K
Sales,White,Male,0,0,30,United-States,<=50K
?,White,Male,0,0,25,United-States,<=50K
Other-service,White,Male,0,0,40,United-States,>50K
?,White,Male,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,70,United-States,<=50K
Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
Transport-moving,Black,Male,0,0,40,United-States,<=50K
Other-service,Black,Female,0,0,35,United-States,<=50K
Adm-clerical,White,Male,0,0,45,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Protective-serv,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Male,0,0,30,?,<=50K
Craft-repair,White,Male,0,0,40,Poland,<=50K
Prof-specialty,White,Male,0,0,40,England,<=50K
Sales,Black,Female,0,0,40,United-States,<=50K
Sales,Black,Female,0,0,44,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,England,>50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
?,White,Female,0,0,35,United-States,<=50K
Craft-repair,White,Male,0,0,10,United-States,<=50K
Other-service,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Female,0,0,30,United-States,<=50K
Sales,White,Male,0,0,45,United-States,>50K
Farming-fishing,White,Male,0,0,50,United-States,<=50K
Transport-moving,White,Male,0,0,45,United-States,<=50K
Adm-clerical,White,Male,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,65,Canada,>50K
Prof-specialty,White,Male,0,0,55,United-States,<=50K
Handlers-cleaners,White,Male,0,0,45,United-States,<=50K
Sales,White,Female,0,0,40,United-States,<=50K
?,White,Female,0,0,40,United-States,<=50K
Sales,White,Female,0,0,35,United-States,<=50K
Machine-op-inspct,White,Male,0,0,30,United-States,<=50K
Adm-clerical,Black,Female,0,0,40,United-States,<=50K
Machine-op-inspct,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
Other-service,White,Male,0,0,25,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,>50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,>50K
Other-service,White,Female,0,0,40,United-States,<=50K
Other-service,White,Male,0,0,40,United-States,<=50K
Other-service,White,Male,0,0,40,Mexico,<=50K
Adm-clerical,White,Female,0,0,65,United-States,<=50K
Exec-managerial,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
Farming-fishing,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Male,0,0,40,United-States,>50K
Farming-fishing,White,Male,0,0,25,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Transport-moving,White,Male,0,0,60,United-States,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,44,United-States,>50K
?,White,Male,0,0,36,United-States,<=50K
Sales,White,Female,0,0,40,United-States,<=50K
Farming-fishing,White,Male,0,0,84,United-States,<=50K
Craft-repair,White,Male,0,0,52,United-States,>50K
Sales,Asian-Pac-Islander,Male,0,0,35,China,<=50K
Exec-managerial,White,Male,0,0,50,United-States,>50K
Tech-support,White,Male,0,0,40,United-States,<=50K
Other-service,Black,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Male,0,0,25,United-States,<=50K
Other-service,Black,Male,0,0,40,United-States,<=50K
Tech-support,White,Female,0,0,24,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Machine-op-inspct,Black,Male,0,0,20,Trinadad&Tobago,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,3,United-States,<=50K
Prof-specialty,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
Handlers-cleaners,White,Male,0,0,40,Mexico,<=50K
Other-service,White,Female,0,0,25,United-States,<=50K
Protective-serv,Black,Female,0,0,40,United-States,<=50K
Other-service,White,Female,0,0,25,United-States,<=50K
Sales,White,Female,0,0,40,United-States,<=50K
Other-service,White,Female,0,0,30,United-States,<=50K
Sales,Other,Male,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,37,United-States,<=50K
Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,38,United-States,<=50K
Craft-repair,White,Male,0,0,20,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Protective-serv,Black,Male,0,0,40,United-States,<=50K
?,White,Male,0,0,8,United-States,<=50K
Machine-op-inspct,White,Female,0,0,55,United-States,<=50K
Sales,White,Female,0,0,40,United-States,<=50K
Sales,Black,Female,0,0,54,Dominican-Republic,>50K
Tech-support,White,Male,0,0,40,United-States,>50K
Prof-specialty,White,Female,0,0,40,United-States,<=50K
Tech-support,White,Female,0,0,40,Canada,>50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Transport-moving,White,Female,0,0,38,United-States,<=50K
?,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,50,United-States,<=50K
Adm-clerical,White,Male,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,10,United-States,<=50K
Prof-specialty,White,Male,0,0,40,United-States,>50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Craft-repair,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
Sales,White,Female,0,0,48,United-States,<=50K
Craft-repair,White,Male,0,0,48,United-States,<=50K
?,White,Male,0,0,8,United-States,<=50K
Handlers-cleaners,White,Female,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,20,United-States,<=50K
Exec-managerial,White,Male,0,0,50,United-States,<=50K
?,White,Female,0,0,25,United-States,<=50K
Exec-managerial,White,Male,0,0,60,United-States,>50K
Sales,White,Male,0,0,40,United-States,>50K
Protective-serv,Black,Male,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Machine-op-inspct,White,Female,0,0,40,Puerto-Rico,<=50K
Craft-repair,White,Female,0,0,50,United-States,<=50K
Transport-moving,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,55,United-States,>50K
?,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,25,United-States,<=50K
Craft-repair,White,Male,0,0,45,United-States,>50K
Craft-repair,Asian-Pac-Islander,Male,0,0,50,United-States,>50K
Protective-serv,Black,Male,0,0,35,United-States,<=50K
Adm-clerical,White,Female,0,0,6,United-States,<=50K
Adm-clerical,Asian-Pac-Islander,Male,0,0,40,?,>50K
Transport-moving,White,Male,0,0,45,United-States,>50K
Handlers-cleaners,Black,Male,0,0,40,United-States,<=50K
Other-service,White,Female,0,0,40,United-States,<=50K
Other-service,Black,Female,0,0,40,?,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,60,United-States,>50K
?,White,Female,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,40,United-States,<=50K
Other-service,White,Female,0,0,35,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
Prof-specialty,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,30,United-States,<=50K
Exec-managerial,White,Male,0,0,56,United-States,>50K
Other-service,White,Female,0,0,25,United-States,<=50K
Other-service,White,Female,0,0,25,United-States,<=50K
Protective-serv,White,Male,0,0,40,United-States,<=50K
Sales,Black,Male,0,0,40,United-States,<=50K
Craft-repair,White,Male,0,0,50,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,65,United-States,<=50K
Machine-op-inspct,White,Male,0,0,50,United-States,>50K
Exec-managerial,Black,Female,0,0,40,United-States,<=50K
Adm-clerical,White,Female,0,0,8,United-States,<=50K
Adm-clerical,Black,Male,0,0,40,United-States,>50K
Sales,White,Male,0,0,50,United-States,<=50K
?,White,Female,0,0,35,United-States,<=50K
Sales,White,Female,0,0,50,United-States,<=50K
Transport-moving,White,Male,0,0,70,United-States,>50K
Adm-clerical,Asian-Pac-Islander,Female,0,0,35,United-States,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
Prof-specialty,White,Female,0,0,40,?,<=50K
Other-service,White,Female,0,0,40,United-States,<=50K
Farming-fishing,White,Male,0,0,40,United-States,<=50K
Sales,White,Male,0,0,40,United-States,<=50K
Adm-clerical,Other,Female,0,0,40,United-States,<=50K
Exec-managerial,White,Male,0,0,40,United-States,<=50K
Farming-fishing,White,Male,0,0,60,United-States,<=50K
Sales,White,Male,0,0,50,United-States,>50K
Prof-specialty,White,Female,0,0,21,United-States,<=50K
Adm-clerical,White,Female,0,0,20,United-States,>50K
Machine-op-inspct,Black,Female,0,0,40,Haiti,<=50K
Exec-managerial,White,Male,0,0,45,United-States,<=50K
Adm-clerical,White,Female,0,0,20,United-States,<=50K
Sales,Black,Male,0,0,30,United-States,<=50K
Adm-clerical,White,Male,0,0,40,United-States,<=50K
?,White,Male,0,0,40,United-States,<=50K
Prof-specialty,White,Male,0,0,13,United-States,<=50K
Farming-fishing,White,Male,0,0,65,United-States,<=50K
?,White,Male,0,0,40,United-States,>50K
?,White,Female,0,0,30,United-States,<=50K
Craft-repair,White,Male,0,0,40,?,<=50K
Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
Sales,Black,Female,0,0,40,United-States,<=50K
Sales,White,Male,0,0,65,United-States,>50K
Adm-clerical,White,Female,0,0,52,United-States,<=50K
?,Black,Male,0,0,40,United-States,>50K
Transport-moving,White,Male,0,0,25,United-States,<=50K
Transport-moving,White,Male,0,0,60,United-States,>50K
Machine-op-inspct,White,Female,0,0,40,Dominican-Republic,<=50K
Craft-repair,White,Male,0,0,50,United-States,<=50K
Craft-repair,White,Male,0,0,40,Portugal,<=50K
Adm-clerical,White,Female,0,0,40,United-States,<=50K
?,White,Female,0,0,35,Germany,<=50K
Prof-specialty,Asian-Pac-Islander,Male,0,0,45,?,<=50K
Exec-managerial,White,Male,0,0,50,United-States,>50K
Craft-repair,White,Male,0,0,45,United-States,>50K
Adm-clerical,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
Craft-repair,White,Male,0,0,40,?,<=50K
?,White,Male,0,0,3,United-States,<=50K
Handlers-cleaners,White,Female,0,0,24,United-States,<=50K
Craft-repair,Black,Female,0,0,40,United-States,<=50K
Transport-moving,White,Male,0,0,50,United-States,>50K
